Gene	Is_Overlapped_gene(1,0)	Number_Overlapped_gene	Is_Unique_gene(1,0)	Longest_transcript	TPM_mean	TPM_sd	TPM_rsd	TPM_max	TPM_min
TraesCSU02G035500	0	0	1	TraesCSU02G035500.1	0.24999896	0.7944206	3.1776955	4.248888	0.0
TraesCSU02G035700	0	0	1	TraesCSU02G035700.1	1.404028	0.6813569	0.48528728	3.0683916	0.273022
TraesCSU02G035800	0	0	1	TraesCSU02G035800.1	33.823696	9.176965	0.27131763	54.003475	17.060266
TraesCSU02G035900	0	0	1	TraesCSU02G035900.1	0.6382652	0.80293983	1.2580035	3.557465	0.0
TraesCSU02G036000	0	0	1	TraesCSU02G036000.1	0.13695057	0.6126367	4.473415	3.477266	0.0
TraesCSU02G036100	0	0	1	TraesCSU02G036100.1	0.002189613	0.008165257	3.7290869	0.038545165	0.0
TraesCSU02G036200	0	0	1	TraesCSU02G036200.1	0.025444917	0.09068436	3.5639482	0.467095	0.0
TraesCSU02G036300	0	0	1	TraesCSU02G036300.1	0.52261657	0.6684861	1.2791139	2.79781	0.02037885
TraesCSU02G036400	0	0	1	TraesCSU02G036400.1	0.5750936	0.77127594	1.3411311	2.9271767	0.0
TraesCSU02G036500	0	0	1	TraesCSU02G036500.1	9.035885	7.3841834	0.8172065	37.629967	0.5324995
TraesCSU02G036600	0	0	1	TraesCSU02G036600.1	152.52007	369.71335	2.4240308	1508.0167	0.0
TraesCSU02G036700	0	0	1	TraesCSU02G036700.1	13.849227	7.5295367	0.54367924	49.99943	5.2040267
TraesCSU02G036800	0	0	1	TraesCSU02G036800.1	0.9421398	0.57038075	0.60540986	3.5077333	0.14393933
TraesCSU02G036900	0	0	1	TraesCSU02G036900.1	11.005722	10.306743	0.9364894	48.41912	1.0903473
TraesCSU02G037000	0	0	1	TraesCSU02G037000.1	0.27113017	0.61768615	2.2781904	2.8855534	0.0
TraesCSU02G037100	0	0	1	TraesCSU02G037100.1	0.8862806	0.48630053	0.5486981	2.4608333	0.112871535
TraesCSU02G037200	0	0	1	TraesCSU02G037200.1	0.58332574	1.2040821	2.0641675	5.77211	0.0
TraesCSU02G037300	0	0	1	TraesCSU02G037300.1	0.6695786	1.3769021	2.056371	5.499123	0.0
TraesCSU02G037400	0	0	1	TraesCSU02G037400.1	0.05020368	0.053403478	1.0637363	0.22743234	0.0
TraesCSU02G037500	0	0	1	TraesCSU02G037500.1	22.30907	18.40564	0.82502943	87.3205	1.1774594
TraesCSU02G037600	0	0	1	TraesCSU02G037600.1	7.870441	5.681088	0.7218259	22.314537	0.27879268
TraesCSU02G037700	0	0	1	TraesCSU02G037700.1	2.407729	1.9387743	0.8052295	10.098673	0.25228032
TraesCSU02G037800	0	0	1	TraesCSU02G037800.1	4.37897	2.5994527	0.5936219	10.37512	0.29073668
TraesCSU02G037900	0	0	1	TraesCSU02G037900.1	0.06403137	0.2225566	3.4757433	1.2351017	0.0
TraesCSU02G038000	0	0	1	TraesCSU02G038000.1	1.3764	0.7814708	0.56776434	3.35967	0.0
TraesCSU02G038100	0	0	1	TraesCSU02G038100.1	0.021119576	0.026854593	1.2715498	0.1069131	0.0
TraesCSU02G038200	0	0	1	TraesCSU02G038200.1	0.017550793	0.039898682	2.2733264	0.18227066	0.0
TraesCSU02G038300	0	0	1	TraesCSU02G038300.1	0.04688986	0.04581336	0.9770419	0.14120203	0.0
TraesCSU02G038400	0	0	1	TraesCSU02G038400.1	14.168218	11.947101	0.8432324	47.187534	0.508993
TraesCSU02G038500	0	0	1	TraesCSU02G038500.1	0.6849275	0.8414425	1.2285132	3.5897534	0.0
TraesCSU02G038600	0	0	1	TraesCSU02G038600.1	1.3387728	7.7922263	5.820425	46.119034	0.0
TraesCSU02G038700	0	0	1	TraesCSU02G038700.1	0.60698575	1.3084832	2.1557066	6.9390817	0.0
TraesCSU02G038800	0	0	1	TraesCSU02G038800.1	7.713476E-4	0.004563354	5.91608	0.026997166	0.0
TraesCSU02G038900	0	0	1	TraesCSU02G038900.1	2.733076	6.6255064	2.4241939	30.53455	0.0
TraesCSU02G039000	0	0	1	TraesCSU02G039000.1	0.020818593	0.07381971	3.545855	0.34834734	0.0
TraesCSU02G039100	0	0	1	TraesCSU02G039100.1	0.01827485	0.02282654	1.2490685	0.083904	0.0
TraesCSU02G039200	0	0	1	TraesCSU02G039200.1	7.5867615E-4	0.0044883885	5.91608	0.026553666	0.0
TraesCSU02G039300	0	0	1	TraesCSU02G039300.1	72.86914	24.598627	0.3375726	113.45827	23.316732
TraesCSU02G039400	0	0	1	TraesCSU02G039400.1	15.58299	8.360203	0.53649545	31.111732	1.6586133
TraesCSU02G039500	0	0	1	TraesCSU02G039500.1	0.0015838295	0.004973246	3.1400135	0.023243284	0.0
TraesCSU02G039600	0	0	1	TraesCSU02G039600.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G039700	0	0	1	TraesCSU02G039700.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G039800	0	0	1	TraesCSU02G039800.1	17.240393	5.6135516	0.3256046	31.4666	5.924657
TraesCSU02G039900	0	0	1	TraesCSU02G039900.1	13.27256	3.7712703	0.28414038	20.923767	5.61294
TraesCSU02G040000	0	0	1	TraesCSU02G040000.1	0.1630436	0.1237524	0.7590141	0.61454135	0.0
TraesCSU02G040100	0	0	1	TraesCSU02G040100.1	11.191351	4.9035215	0.4381528	23.930967	3.40215
TraesCSU02G040200	0	0	1	TraesCSU02G040200.1	0.5477698	1.2559413	2.2928267	6.520887	0.0
TraesCSU02G040300	0	0	1	TraesCSU02G040300.1	1.0988095E-4	6.5006444E-4	5.91608	0.0038458332	0.0
TraesCSU02G040400	0	0	1	TraesCSU02G040400.1	6.7640474E-5	4.0016643E-4	5.91608	0.0023674166	0.0
TraesCSU02G040500	0	0	1	TraesCSU02G040500.1	0.25932035	0.9184517	3.541765	5.4957266	0.0
TraesCSU02G040600	0	0	1	TraesCSU02G040600.1	4.7866135	1.8822867	0.39323977	10.436077	1.7021036
TraesCSU02G040700	0	0	1	TraesCSU02G040700.1	0.011079837	0.048667755	4.3924613	0.284965	0.0
TraesCSU02G040800	0	0	1	TraesCSU02G040800.1	0.0019857245	0.003862435	1.9451011	0.017461916	0.0
TraesCSU02G040900	0	0	1	TraesCSU02G040900.1	6.6573714E-4	0.0027341936	4.107017	0.014520466	0.0
TraesCSU02G041000	0	0	1	TraesCSU02G041000.1	8.2387625E-5	4.8741174E-4	5.91608	0.0028835668	0.0
TraesCSU02G041100	0	0	1	TraesCSU02G041100.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G041200	0	0	1	TraesCSU02G041200.1	0.25203913	0.25563702	1.0142751	1.033914	0.0
TraesCSU02G041300	0	0	1	TraesCSU02G041300.1	0.11613351	0.17760387	1.5293077	0.8555717	0.0
TraesCSU02G041400	0	0	1	TraesCSU02G041400.1	2.0831334E-4	0.0012323983	5.91608	0.007290967	0.0
TraesCSU02G041500	0	0	1	TraesCSU02G041500.1	0.030115945	0.055215865	1.8334428	0.203495	0.0
TraesCSU02G041600	0	0	1	TraesCSU02G041600.1	0.91203254	5.060077	5.5481324	29.950413	0.0
TraesCSU02G041700	0	0	1	TraesCSU02G041700.1	0.02346361	0.034915246	1.4880594	0.15954767	0.0
TraesCSU02G041800	0	0	1	TraesCSU02G041800.1	0.48359272	0.80844903	1.671756	3.4015234	0.0
TraesCSU02G041900	0	0	1	TraesCSU02G041900.1	0.15452142	0.5169715	3.3456302	3.043743	0.0
TraesCSU02G042000	0	0	1	TraesCSU02G042000.1	0.048125762	0.09428477	1.959133	0.510429	0.0
TraesCSU02G042100	0	0	1	TraesCSU02G042100.1	0.017940845	0.033083897	1.8440546	0.15359469	0.0
TraesCSU02G042200	0	0	1	TraesCSU02G042200.1	0.063870266	0.09684678	1.5163046	0.45834234	0.0
TraesCSU02G042300	0	0	1	TraesCSU02G042300.1	0.016398482	0.033173557	2.0229652	0.131448	0.0
TraesCSU02G042400	0	0	1	TraesCSU02G042400.1	3.6234505	7.308831	2.0170915	39.080166	0.0
TraesCSU02G042500	0	0	1	TraesCSU02G042500.1	0.0	0.0	NaN	0.0	0.0
TraesCSU02G042600	0	0	1	TraesCSU02G042600.1	0.5910879	0.34998223	0.59209853	1.3815895	0.09712767
TraesCSU02G042700	0	0	1	TraesCSU02G042700.1	9.1255194E-4	0.004574856	5.013255	0.026709367	0.0
TraesCSU02G042800	0	0	1	TraesCSU02G042800.1	19.163515	30.1723	1.5744658	109.72943	0.030289767
TraesCSU02G042900	0	0	1	TraesCSU02G042900.1	5.172409	5.6137495	1.0853258	22.735016	0.31928
TraesCSU02G043000	0	0	1	TraesCSU02G043000.1	8.890012	4.834783	0.54384434	26.990725	1.57374
TraesCSU02G043100	0	0	1	TraesCSU02G043100.1	1.3427107E-4	7.943584E-4	5.91608	0.0046994877	0.0
TraesCSU02G043200	0	0	1	TraesCSU02G043200.1	0.1110079	0.32619378	2.9384737	1.7440866	0.0
TraesCSU02G043300	0	0	1	TraesCSU02G043300.1	4.0405316	4.6524277	1.1514394	13.878906	0.0
TraesCSU02G043400	0	0	1	TraesCSU02G043400.1	0.020837335	0.05271026	2.5296066	0.23207024	0.0
TraesCSU02G043500	0	0	1	TraesCSU02G043500.1	2.1505334E-4	0.0010302996	4.7909026	0.005929467	0.0
TraesCSU02G043600	0	0	1	TraesCSU02G043600.1	0.1926369	0.30017647	1.5582501	1.3146703	0.0
TraesCSU02G043700	0	0	1	TraesCSU02G043700.1	0.15534143	0.43926698	2.8277516	2.1825933	0.0
TraesCSU02G043800	0	0	1	TraesCSU02G043800.1	0.11294672	0.4391752	3.8883395	2.36396	0.0
TraesCSU02G043900	0	0	1	TraesCSU02G043900.1	9.991975E-4	0.0037998941	3.802946	0.019866666	0.0
TraesCSU02G044000	0	0	1	TraesCSU02G044000.1	6.491151E-4	0.00242578	3.737057	0.0113355	0.0
TraesCSU02G044100	0	0	1	TraesCSU02G044100.1	0.8152624	1.3683213	1.6783816	5.0182166	0.0
TraesCSU02G044200	0	0	1	TraesCSU02G044200.1	5.646722	5.4949465	0.9731215	20.975466	0.35108134
TraesCSU02G044300	0	0	1	TraesCSU02G044300.1	51.198666	51.120224	0.9984679	208.66884	6.0052867
TraesCSU02G044400	0	0	1	TraesCSU02G044400.1	0.8341941	1.2891053	1.5453302	5.4092116	0.0
TraesCSU02G044500	0	0	1	TraesCSU02G044500.2	5.6677136	3.4729316	0.6127571	16.337097	0.64957666
TraesCSU02G044600	0	0	1	TraesCSU02G044600.1	0.029033	0.13734788	4.7307506	0.786113	0.0
TraesCSU02G044700	0	0	1	TraesCSU02G044700.1	0.09799736	0.1404261	1.432958	0.6079417	0.0
TraesCSU02G044800	0	0	1	TraesCSU02G044800.1	0.019188123	0.06441288	3.3569138	0.350172	0.0
TraesCSU02G044900	0	0	1	TraesCSU02G044900.1	0.5324905	1.0062696	1.8897419	3.8900433	0.0
TraesCSU02G045000	0	0	1	TraesCSU02G045000.1	0.008929032	0.014471714	1.6207484	0.043713823	0.0
TraesCSU02G045100	0	0	1	TraesCSU02G045100.1	0.0029185168	0.014526742	4.9774394	0.0850115	0.0
TraesCSU02G045200	0	0	1	TraesCSU02G045200.1	0.4310252	0.5974248	1.3860554	2.3242607	0.0
TraesCSU02G045300	0	0	1	TraesCSU02G045300.1	0.1667959	0.50757575	3.0430949	2.9720998	0.0
TraesCSU02G045400	0	0	1	TraesCSU02G045400.1	1.2420089	1.159675	0.93370914	3.89658	0.0
TraesCSU02G045500	0	0	1	TraesCSU02G045500.1	2.9276311	3.201654	1.0935988	11.187555	0.0
TraesCSU02G045600	0	0	1	TraesCSU02G045600.1	10.467652	11.138277	1.0640664	35.40333	0.0
TraesCSU02G045700	0	0	1	TraesCSU02G045700.1	0.45840532	0.7999863	1.7451507	2.94195	0.0
TraesCSU02G045800	0	0	1	TraesCSU02G045800.1	7.429927E-4	0.0033406934	4.496267	0.018509	0.0
TraesCSU02G045900	0	0	1	TraesCSU02G045900.1	3.5054784	2.7223039	0.7765856	11.25471	0.31576267
TraesCSU02G046000	0	0	1	TraesCSU02G046000.1	0.013704799	0.0333806	2.435687	0.18125127	0.0
TraesCSU02G046100	0	0	1	TraesCSU02G046100.1	2.2818317E-6	1.3499499E-5	5.91608	7.986411E-5	0.0
TraesCSU02G046200	0	0	1	TraesCSU02G046200.1	0.006280076	0.013195811	2.1012185	0.064072065	0.0
TraesCSU02G046300	0	0	1	TraesCSU02G046300.1	17.68457	9.67488	0.5470803	38.310936	4.1737766
TraesCSU02G046400	0	0	1	TraesCSU02G046400.1	2.3721485	3.431603	1.4466224	12.152845	0.0
TraesCSU02G046500	0	0	1	TraesCSU02G046500.1	2.9408212	4.129183	1.4040917	12.941667	0.092562005
TraesCSU02G046600	0	0	1	TraesCSU02G046600.1	0.07173963	0.23145138	3.2262695	1.231255	0.0
TraesCSU02G046700	0	0	1	TraesCSU02G046700.1	0.022580005	0.06261637	2.7730892	0.2958031	0.0
TraesCSU02G046800	0	0	1	TraesCSU02G046800.1	0.35612252	0.248534	0.697889	1.0509545	0.0
TraesCSU02G046900	0	0	1	TraesCSU02G046900.1	1.7601466	2.8163478	1.6000644	9.76619	0.0
TraesCSU02G047000	0	0	1	TraesCSU02G047000.1	0.9643945	1.6806847	1.7427355	7.0754433	0.0
TraesCSU02G047100	0	0	1	TraesCSU02G047100.1	0.005103099	0.013106535	2.5683482	0.057226732	0.0
TraesCSU02G047200	0	0	1	TraesCSU02G047200.1	0.0015486586	0.007553443	4.87741	0.043757	0.0
TraesCSU02G047300	0	0	1	TraesCSU02G047300.1	1.3034542	6.412592	4.919691	37.764732	0.0
TraesCSU02G047400	0	0	1	TraesCSU02G047400.1	0.42981604	0.5780127	1.3447909	2.0695	0.0
TraesCSU02G047500	0	0	1	TraesCSU02G047500.1	1.2976257	1.300351	1.0021002	5.15231	0.013046767
TraesCSU02G047600	0	0	1	TraesCSU02G047600.1	8.879626	25.662333	2.890024	122.18913	0.0
TraesCSU02G047700	0	0	1	TraesCSU02G047700.1	7.397846	23.085817	3.1206133	113.03234	0.0
TraesCSU02G047800	0	0	1	TraesCSU02G047800.1	16.372942	30.047552	1.8351958	138.04733	0.0
TraesCSU02G047900	0	0	1	TraesCSU02G047900.1	2.15191	1.4140117	0.6570961	6.63943	0.71476734
TraesCSU02G048000	0	0	1	TraesCSU02G048000.1	0.099294744	0.1509176	1.5198953	0.844914	0.0
TraesCSU02G048100	0	0	1	TraesCSU02G048100.1	0.2456249	0.19958219	0.81254864	0.749214	0.0
TraesCSU02G048200	0	0	1	TraesCSU02G048200.1	0.021695768	0.030373767	1.3999858	0.139203	0.0
TraesCSU02G048300	0	0	1	TraesCSU02G048300.1	5.2354E-4	0.002175805	4.155948	0.012356433	0.0
TraesCSU02G048400	0	0	1	TraesCSU02G048400.1	0.12486162	0.057603788	0.46134102	0.25179467	0.0
TraesCSU02G048500	0	0	1	TraesCSU02G048500.1	2.1827192	6.1887636	2.8353455	32.732166	0.0
TraesCSU02G048600	0	0	1	TraesCSU02G048600.1	0.07364602	0.15784569	2.1433024	0.81472856	0.0
TraesCSU02G048700	0	0	1	TraesCSU02G048700.1	0.15783162	0.63716465	4.03699	3.7136757	0.0
TraesCSU02G048800	0	0	1	TraesCSU02G048800.1	8.498924E-4	0.0038116935	4.4849133	0.021071833	0.0
TraesCSU02G048900	0	0	1	TraesCSU02G048900.1	1.2954797	0.46958274	0.36247793	2.529729	0.5178327
TraesCSU02G049000	0	0	1	TraesCSU02G049000.1	5.3329236E-4	0.002203065	4.131064	0.0099560665	0.0
TraesCSU02G049100	0	0	1	TraesCSU02G049100.1	30.095585	17.666328	0.58700734	70.81493	2.7891233
TraesCSU02G049200	0	0	1	TraesCSU02G049200.2	1.5575603	1.6767117	1.0764987	6.14182	0.044791866
TraesCSU02G049300	0	0	1	TraesCSU02G049300.1	0.23930912	0.13105154	0.5476245	0.62601465	0.011924467
TraesCSU02G049400	0	0	1	TraesCSU02G049400.1	351.69626	248.33568	0.7061084	840.9032	13.287904
TraesCSU02G049500	0	0	1	TraesCSU02G049500.1	229.03334	573.163	2.5025308	3272.0117	0.0
TraesCSU02G049600	0	0	1	TraesCSU02G049600.1	9.4327144E-4	0.005580469	5.91608	0.0330145	0.0
TraesCSU02G049700	0	0	1	TraesCSU02G049700.1	4.6738143	7.6319103	1.6329082	32.865383	0.07213667
TraesCSU02G049800	0	0	1	TraesCSU02G049800.1	1.9697812	1.5926168	0.8085248	5.71297	0.032595567
TraesCSU02G049900	0	0	1	TraesCSU02G049900.1	0.13356149	0.17141558	1.2834208	0.6654285	0.0
TraesCSU02G050000	0	0	1	TraesCSU02G050000.1	28.481636	48.0762	1.6879718	161.585	0.0
